school,state,division,niche_grade
Roanoke College,VA,NCAA III,
Shenandoah University,VA,NCAA III,
Southern Virginia University,VA,NCAA III,
SweetBriarCollege,VA,NCAA III,
University of Lynchburg,VA,NCAA III,
University of Mary Washington,VA,NCAA III,
Virginia Wesleyan College,VA,NCAA III,
Washington & Lee University,VA,NCAA III,
Castleton University,VT,NCAA III,
Middlebury College,VT,NCAA III,
Northern Vermont Univ - Johnson,VT,NCAA III,
Northern Vermont Univ - Lyndon,VT,NCAA III,
Norwich University,VT,NCAA III,
Pacific Lutheran University,WA,NCAA III,
University of Puget Sound,WA,NCAA III,
Whitman College,WA,NCAA III,
Whitworth University,WA,NCAA III,
AlvernoCollege,WI,NCAA III,
Carroll University,WI,NCAA III,
Carthage College,WI,NCAA III,
Concordia University-Wisconsin,WI,NCAA III,
Edgewood College,WI,NCAA III,
Lakeland University,WI,NCAA III,
Lawrence University,WI,NCAA III,
Milwaukee School of Engineering,WI,NCAA III,
Ripon College,WI,NCAA III,
Saint Norbert College,WI,NCAA III,
Univ of Wisconsin- Eau Claire,WI,NCAA III,
Univ of Wisconsin- Whitewater,WI,NCAA III,
Univ of Wisconsin-La Crosse,WI,NCAA III,
Univ of Wisconsin-Oshkosh,WI,NCAA III,
Univ of Wisconsin-River Falls,WI,NCAA III,
Univ of Wisconsin-Stevens Point,WI,NCAA III,
Univ of Wisconsin-Stout,WI,NCAA III,
Univ of Wisconsin-Superior,WI,NCAA III,
Wisconsin Lutheran College,WI,NCAA III,
University of Mobile,AL,NAIA,
John Brown University,AR,NAIA,
Arizona Christian University,AZ,NAIA,
Ottawa University - Arizona,AZ,NAIA,
Hope International University,CA,NAIA,
Marymount California University,CA,NAIA,
San Diego Christian College,CA,NAIA,
University of Saint Katherine,CA,NAIA,
Westmont College,CA,NAIA,
William Jessup University,CA,NAIA,
Ave Maria University,FL,NAIA,
Florida National University,FL,NAIA,
Keiser University,FL,NAIA,
Southeastern University,FL,NAIA,
St Thomas University,FL,NAIA,
Warner University,FL,NAIA,
Webber International University,FL,NAIA,
Brenau University,GA,NAIA,
College of Coastal Georgia,GA,NAIA,
Georgia Gwinnett College,GA,NAIA,
Middle Georgia State University,GA,NAIA,
Point University,GA,NAIA,
Reinhardt University,GA,NAIA,
Savannah College of Art & Design,GA,NAIA,
Grand View University,IA,NAIA,
Morningside College,IA,NAIA,
Northwestern College,IA,NAIA,
Saint Ambrose University,IA,NAIA,
College of Idaho,ID,NAIA,
Lewis-Clark State College,ID,NAIA,
Judson University,IL,NAIA,
Olivet Nazarene University,IL,NAIA,
Roosevelt University,IL,NAIA,
University of St Francis,IL,NAIA,
Bethel College,IN,NAIA,
Goshen College,IN,NAIA,
Grace College,IN,NAIA,
Holy Cross College,IN,NAIA,
Huntington University,IN,NAIA,
Indiana Institute of Technology,IN,NAIA,
Indiana University-East,IN,NAIA,
Indiana University-Kokomo,IN,NAIA,
Indiana University-Northwest,IN,NAIA,
Indiana University-South Bend,IN,NAIA,
Indiana University-Southeast,IN,NAIA,
Indiana Wesleyan University,IN,NAIA,
Marian University,IN,NAIA,
University of Saint Francis,IN,NAIA,
Baker University,KS,NAIA,
Bethany College,KS,NAIA,
Friends University,KS,NAIA,
Kansas Wesleyan University,KS,NAIA,
McPherson College,KS,NAIA,
Ottawa University,KS,NAIA,
Southwestern College,KS,NAIA,
Sterling College,KS,NAIA,
Tabor College,KS,NAIA,
Asbury University,KY,NAIA,
Brescia University,KY,NAIA,
Campbellsville University,KY,NAIA,
Georgetown College,KY,NAIA,
Lindsey Wilson College,KY,NAIA,
Midway University,KY,NAIA,
Thomas More College,KY,NAIA,
Union College,KY,NAIA,
University of Pikeville,KY,NAIA,
University of the Cumberlands,KY,NAIA,
Louisiana State Univ- Alexandria,LA,NAIA,
Louisiana State Univ- Shreveport,LA,NAIA,
Loyola University New Orleans,LA,NAIA,
Xavier University of Louisiana,LA,NAIA,
Aquinas College,MI,NAIA,
Concordia University-Ann Arbor,MI,NAIA,
Cornerstone University,MI,NAIA,
Lawrence Technological University,MI,NAIA,
Spring Arbor University,MI,NAIA,
Evangel University,MO,NAIA,
Missouri Baptist University,MO,NAIA,
Missouri Valley College,MO,NAIA,
St Louis College of Pharmacy,MO,NAIA,
William Woods University,MO,NAIA,
Blue Mountain College,MS,NAIA,
Rust College,MS,NAIA,
Tougaloo College,MS,NAIA,
William Carey University,MS,NAIA,
Montreat College,NC,NAIA,
College of Saint Mary,NE,NAIA,
Concordia University-Nebraska,NE,NAIA,
Doane University,NE,NAIA,
Hastings College,NE,NAIA,
Midland University,NE,NAIA,
University of the Southwest,NM,NAIA,
Lourdes University,OH,NAIA,
Mount Vernon Nazarene University,OH,NAIA,
Ohio Christian University,OH,NAIA,
Shawnee State University,OH,NAIA,
Univ of Northwestern Ohio,OH,NAIA,
Oklahoma Wesleyan University,OK,NAIA,
Carlow University,PA,NAIA,
Columbia College,SC,NAIA,
Mount Marty College,SD,NAIA,
Bethel University,TN,NAIA,
Cumberland University,TN,NAIA,
Freed-Hardeman University,TN,NAIA,
Martin Methodist College,TN,NAIA,
Milligan College,TN,NAIA,
Tennessee Wesleyan College,TN,NAIA,
Our Lady of the Lake University,TX,NAIA,
Texas A & M - Texarkana,TX,NAIA,
Texas Wesleyan University,TX,NAIA,
Bluefield College,VA,NAIA,
Cardinal Stritch University,WI,NAIA,
Central Alabama CC,AL,JUCO,
Coastal Alabama CC,AL,JUCO,
Gadsden State CC,AL,JUCO,
Marion Military Institute,AL,JUCO,
Snead State CC,AL,JUCO,
Wallace State CC - Hanceville,AL,JUCO,
Eastern Arizona College,AZ,JUCO,
Glendale CC,AZ,JUCO,
Mesa Community College,AZ,JUCO,
Paradise Valley CC,AZ,JUCO,
Pima Community College,AZ,JUCO,
Broward College,FL,JUCO,
Eastern Florida State College,FL,JUCO,
Hillsborough CC,FL,JUCO,
St Petersburg College,FL,JUCO,
State College of Florida-Manatee,FL,JUCO,
Abraham Baldwin Agricultural College,GA,JUCO,
Emory Oxford,GA,JUCO,
Iowa Central CC,IA,JUCO,
College of DuPage,IL,JUCO,
College of Lake County,IL,JUCO,
Elgin CC,IL,JUCO,
Illinois Valley CC,IL,JUCO,
Kaskaskia College,IL,JUCO,
Lewis and Clark CC,IL,JUCO,
McHenry County College,IL,JUCO,
Moraine Valley CC,IL,JUCO,
Oakton CC,IL,JUCO,
Prairie State College,IL,JUCO,
Sauk Valley CC,IL,JUCO,
Waubonsee CC,IL,JUCO,
Barton County CC,KS,JUCO,
Cowley College,KS,JUCO,
Seward County CC,KS,JUCO,
Harford CC,MD,JUCO,
Copiah-Lincoln CC,MS,JUCO,
East Central CC,MS,JUCO,
Hinds Community College,MS,JUCO,
Holmes Community College,MS,JUCO,
Itawamba Community College,MS,JUCO,
Jones College,MS,JUCO,
Meridian Community College,MS,JUCO,
Mississippi Gulf Coast CC,MS,JUCO,
Southwest Mississippi CC,MS,JUCO,
Brookdale Community College,NJ,JUCO,
Camden County College,NJ,JUCO,
Mercer County CC,NJ,JUCO,
Ocean County College,NJ,JUCO,
Rowan College - Gloucester,NJ,JUCO,
New Mexico Military Institute,NM,JUCO,
ASA College,NY,JUCO,
Fashion Institute of Technology,NY,JUCO,
Herkimer College,NY,JUCO,
Hudson Valley CC,NY,JUCO,
Kingsborough Community College,NY,JUCO,
Mohawk Valley CC,NY,JUCO,
Nassau Community College,NY,JUCO,
Onondaga Community College,NY,JUCO,
Rockland Community College,NY,JUCO,
Suffolk County CC,NY,JUCO,
SUNY Broome CC,NY,JUCO,
Seminole State College,OK,JUCO,
Northampton County CC,PA,JUCO,
Williamson College of the Trades,PA,JUCO,
Spartanburg Methodist College,SC,JUCO,
Univ of South Carolina-Sumter,SC,JUCO,
Collin College,TX,JUCO,
Jacksonville College,TX,JUCO,
Laredo College,TX,JUCO,
North Central Texas College,TX,JUCO,
Tyler Junior College,TX,JUCO,
Bryant & Stratton College,WI,JUCO,
Milwaukee Area Tech College,WI,JUCO,
American River College,CA,CCCAA,
Antelope Valley College,CA,CCCAA,
Bakersfield College,CA,CCCAA,
Cabrillo College,CA,CCCAA,
Chabot College,CA,CCCAA,
City College of San Francisco,CA,CCCAA,
College of the Canyons,CA,CCCAA,
College of the Desert,CA,CCCAA,
College of the Sequoias,CA,CCCAA,
Cosumnes River College,CA,CCCAA,
Cuyamaca College,CA,CCCAA,
Cypress College,CA,CCCAA,
Diablo Valley College,CA,CCCAA,
El Camino College,CA,CCCAA,
Folsom Lake College,CA,CCCAA,
Foothill College,CA,CCCAA,
Fresno City College,CA,CCCAA,
Fullerton College,CA,CCCAA,
Glendale Community College,CA,CCCAA,
Grossmont College,CA,CCCAA,
Imperial Valley College,CA,CCCAA,
Irvine Valley College,CA,CCCAA,
Los Angeles Pierce College,CA,CCCAA,
Mission College,CA,CCCAA,
Modesto Junior College,CA,CCCAA,
Monterey Peninsula College,CA,CCCAA,
Mt San Antonio College,CA,CCCAA,
Mt San Jacinto College,CA,CCCAA,
Orange Coast College,CA,CCCAA,
Palomar College,CA,CCCAA,
Porterville College,CA,CCCAA,
Reedley College,CA,CCCAA,
Rio Hondo College,CA,CCCAA,
Riverside City College,CA,CCCAA,
Sacramento City College,CA,CCCAA,
Saddleback College,CA,CCCAA,
San Diego City College,CA,CCCAA,
San Diego Mesa College,CA,CCCAA,
Santa Barbara City College,CA,CCCAA,
Santa Monica College,CA,CCCAA,
Santa Rosa Junior College,CA,CCCAA,
Shasta College,CA,CCCAA,
Sierra College,CA,CCCAA,
Solano Community College,CA,CCCAA,
Ventura College,CA,CCCAA,
Victor Valley College,CA,CCCAA,
West Valley College,CA,CCCAA,
Grace Christian University,MI,NCCAA,
Johnson University,TN,NCCAA,
Treasure Valley CC,OR,NWAC,
Bellevue College,WA,NWAC,
Highline College,WA,NWAC,
Spokane Community College,WA,NWAC,
Warren Wilson College,NC,USCAA,
Berkeley College-Woodland Park,NJ,USCAA,
Berkeley College-New York,NY,USCAA,
Culinary Institute of America,NY,USCAA,
Vaughn College of Aeronautics & Tech,NY,USCAA,
Webb Institute,NY,USCAA,
Penn State - Brandywine,PA,USCAA,
